StockCode,stock,threshold
23284,1552,639
22030,676,1131
23355,2587,1678
22698,273,436
84380,689,486
21981,790,173
21871,979,364
21122,252,342
22704,1714,394
21810,3471,2459
22759,2427,630
85175,837,504
22950,1481,0
23233,1399,300
21967,1204,189
22112,2202,1469
23205,1965,648
22728,3179,592
22661,829,343
22983,1442,369
21704,2210,398
21668,1192,137
21976,895,158
21669,988,223
84997D,1186,789
22992,827,700
23343,2269,1398
23286,420,57
22608,640,567
23144,1117,351
22084,10,50
23296,1441,782
22959,1665,1548
22652,837,18
22188,134,525
22579,3691,1610
22138,1610,984
22633,3735,1251
22536,1216,152
21506,679,648
23285,168,28
23243,356,404
84949,721,1036
35970,2958,1322
22834,475,136
16237,464,754
22900,537,277
22557,782,554
16169E,2345,1098
22996,705,399
21672,421,142
23288,304,58
22620,565,540
22273,1156,299
21136,942,402
84596B,360,605
23582,2581,3259
22710,1413,281
22544,188,771
62018,455,246
22333,532,314
22632,2153,1025
21916,769,222
23581,7304,2384
23005,1981,451
20992,1058,983
22534,1921,502
21811,4422,866
20676,634,323
82582,1021,449
22712,717,624
21169,681,574
22083,608,633
23294,683,441
23321,1871,788
23297,33,22
20718,278,549
22111,897,1028
22139,696,757
22053,63,0
22908,256,245
22970,327,316
20711,642,300
22338,6280,1736
22027,975,318
84375,1238,543
22161,3288,396
22986,1247,262
23240,836,597
21917,1028,238
16161U,577,375
21671,587,357
84997B,1028,345
17084R,1174,324
21165,505,448
22553,990,521
20973,1338,1333
21986,404,141
21673,594,159
21124,240,144
21670,784,138
84988,1113,515
23103,2290,861
21174,1063,812
22646,194,1359
22979,371,346
85150,994,296
22491,1064,359
20685,558,338
22348,609,339
22297,632,236
21394,127,0
15056N,919,222
22041,1501,442
79000,10,0
20984,129,0
21390,492,150
22087,1042,906
16218,831,345
21936,454,58
22985,836,169
82581,434,404
22037,127,583
22114,985,1259
23353,2990,604
23439,1562,1173
23263,2102,893
21559,514,201
22991,688,267
48187,191,266
84997C,785,601
23172,500,250
22413,0,2236
84029E,1294,1170
22962,750,87
21314,1089,531
23318,2001,746
21908,835,426
48138,203,232
23275,1461,1134
21509,687,172
51014A,1188,892
21385,360,145
23215,1759,1274
21876,200,170
22367,813,526
22154,1574,1080
23319,4284,786
21238,281,194
20979,522,331
23493,1413,1523
22530,1203,683
22144,1774,929
23503,2909,1022
48185,137,134
23378,2181,902
22816,1674,972
16259,149,0
23182,446,132
22631,560,296
23326,697,633
22219,918,231
22714,1229,129
22047,1979,253
84950,667,243
23354,1988,654
21172,515,438
21485,802,652
22920,179,111
72232,783,576
16216,662,511
23583,4492,1630
21984,623,106
22531,564,285
84596F,305,484
22568,728,264
22772,424,234
23192,691,603
48194,288,196
22596,1181,1274
21623,177,94
23546,932,703
22713,241,135
21519,522,288
21507,893,342
21154,262,300
22464,62,814
22766,468,163
22381,367,188
21098,884,426
20677,82,307
21240,461,69
22113,1016,530
47591D,581,601
22818,1624,1026
84050,628,0
22663,314,181
23188,2626,858
21523,346,224
21900,196,155
22716,806,164
21242,300,320
22963,624,50
22142,1708,650
23198,1030,510
23175,149,136
22243,81,4
23351,3781,766
20996,855,575
23000,528,232
22296,247,219
21156,551,597
35953,2268,1498
22570,828,184
22549,956,591
21746,131,83
22614,964,198
23174,124,111
23165,797,501
22835,1014,868
22915,0,688
22466,452,483
84987,677,168
21481,659,561
82552,452,270
16219,599,310
22150,352,512
21892,727,638
22488,660,307
22028,271,250
85049A,1158,585
23322,917,518
16008,1696,824
22804,999,828
22945,1429,464
22667,298,447
23168,751,488
22352,524,92
23349,2407,567
22158,1274,817
21874,944,214
23507,2202,1117
22734,1261,724
21313,733,232
22711,1118,281
22539,423,597
22999,1362,224
21395,123,0
22419,318,570
82551,577,458
22507,177,138
15056BL,1370,191
23367,1421,1060
22563,336,548
22708,1189,450
22303,1029,233
23210,1415,620
23313,864,1006
85049E,842,333
47503A,956,304
84536A,616,478
20675,226,160
22437,349,223
22730,683,372
22295,414,376
21135,1133,768
22944,2646,648
21479,961,830
21430,380,156
21818,1686,962
23506,3148,431
22989,437,101
22569,333,0
23306,519,18
35961,232,184
22435,161,304
22564,887,624
22174,414,288
23173,262,100
22984,112,123
23445,982,450
20983,1385,498
21754,401,219
23376,1167,756
16235,391,200
21833,405,410
23320,1326,780
70006,80,146
22637,494,173
84832,720,418
22851,965,196
47556B,10,0
21899,299,142
23350,1527,568
21239,107,111
23346,3366,134
21830,55,4
22398,298,371
21621,166,101
23158,397,312
22597,2109,1100
23157,859,528
22082,275,346
84997A,336,243
17096,10,0
23497,145,2108
22964,540,210
22855,10,0
37370,24,16
22775,462,297
21078,23,0
22997,359,309
23545,1559,478
23508,3524,305
84029G,642,490
21932,315,110
21819,1393,1437
23121,193,187
21155,322,126
22892,767,27
23340,2080,174
21642,856,357
22540,0,448
21535,533,118
23374,437,690
22141,821,567
23236,574,241
23154,303,316
22573,556,765
51014C,1059,585
23177,440,676
85212,117,81
47599A,260,32
21933,212,124
22978,117,75
22153,2301,970
21878,37,10
23345,750,172
17021,505,162
21508,348,126
22196,2149,447
10133,10,0
85178,1385,444
22460,286,342
23290,366,468
22971,113,208
22493,328,264
22152,1202,854
22567,327,142
21868,98,143
23187,691,0
23356,1396,695
82483,419,302
22938,534,324
21035,343,220
23109,686,692
23510,1933,1153
21907,67,153
22619,552,384
22792,1110,918
47566B,115,11
22302,995,212
22980,282,83
47590B,268,97
22339,1834,770
22336,709,0
22024,393,228
22813,429,240
23082,392,528
23159,378,220
22046,447,366
23032,1648,22
84929,296,45
22584,382,288
22601,561,423
22066,354,367
22995,210,99
85199S,1706,492
21983,540,168
22749,257,330
23211,1384,613
22155,1246,690
22571,1160,561
21084,581,150
23311,1233,606
21650,830,166
21988,636,114
23108,368,333
22898,489,250
22729,59,0
23212,1500,601
23191,799,295
23380,1622,385
23119,654,120
23334,552,560
22617,867,376
23368,1074,659
22173,456,230
21592,226,1068
23089,2112,332
21244,25,0
23090,524,767
85015,1845,320
22574,703,991
21243,241,190
23148,369,189
22994,212,307
22301,1007,108
23155,466,123
23122,468,82
23100,1066,554
21380,315,72
22436,198,321
23176,898,98
23292,136,372
22094,475,335
82486,359,296
23035,735,415
17091J,247,345
21989,214,136
22546,468,183
23328,774,612
72351B,99,90
21218,278,198
23145,693,202
23002,554,243
21987,867,130
22706,419,188
23247,1924,328
22593,893,519
22644,0,793
37340,609,186
21974,223,241
21399,10,0
20717,439,100
48188,423,16
22615,919,89
22335,490,104
23571,3404,1202
23256,845,268
20982,1098,568
23333,855,583
23241,281,270
47559B,911,346
21875,37,136
22956,20,186
23280,37,364
22651,251,75
22427,178,54
22738,689,339
22774,248,126
23186,336,380
22899,329,345
23332,1015,539
22431,206,30
22895,228,112
48184,187,174
22227,143,216
85061W,373,215
23266,1992,572
22602,1156,406
22465,188,762
47504K,220,0
22098,3651,243
82578,265,393
22668,107,55
47590A,160,111
22750,249,281
23101,585,364
21558,175,116
22091,1245,219
10135,281,179
23436,1012,222
51014L,560,395
22421,1338,443
21755,178,124
23366,1278,627
84406B,104,79
23437,2072,270
21845,229,162
21902,198,98
21749,60,58
22748,537,199
22131,558,225
22940,755,278
22705,1137,150
20969,457,192
22156,247,248
22548,358,0
85204,1043,273
21544,203,263
21069,10,0
21504,930,216
22266,1311,181
23083,893,547
22817,396,180
21809,667,46
23004,972,251
22917,146,116
23550,417,150
20981,575,317
22819,670,250
23193,453,492
23147,439,170
23264,967,574
85014B,715,140
22773,318,129
21216,72,164
23570,1981,1118
22268,554,0
21034,465,318
22093,556,199
72818,2527,0
22537,576,362
22916,111,107
23399,712,332
21844,296,76
22148,27,40
21843,346,433
23229,374,358
22754,0,813
22815,223,87
21287,583,390
48173C,197,108
21179,10,0
23434,1192,596
23438,508,333
22745,400,170
23238,220,372
23287,286,79
22725,453,209
22918,149,122
23501,956,774
22331,566,135
22624,349,138
22904,1011,63
22025,543,54
21935,181,200
22439,73,241
22241,31,29
23196,972,190
22670,283,215
23330,501,548
23194,834,87
16011,491,325
22645,0,430
22957,10,0
85078,1135,0
22594,742,504
21901,145,114
22533,71,81
22059,0,624
22499,33,45
23552,0,2595
22128,475,54
21403,442,364
23480,2696,1012
20749,142,315
23163,216,137
22535,220,242
23382,3585,668
21164,35,118
22972,218,117
20750,262,184
23327,889,441
22171,77,94
22343,0,477
23329,625,450
22079,411,179
22402,503,181
22088,10,0
22195,484,258
85066,269,219
21381,246,21
23006,321,81
84536B,1037,91
22378,62,52
23190,663,136
79164,103,0
22919,166,126
23265,858,519
21090,215,44
47593B,62,272
23504,1050,507
84596G,299,129
23254,390,158
21524,187,168
35471D,604,556
84971S,76,171
22752,39,434
22271,333,344
23251,233,279
22432,105,274
22921,181,124
22798,264,313
71053,66,74
23234,714,277
23156,490,192
84508A,10,0
20679,1054,125
20978,638,245
22906,216,254
23271,900,348
23120,228,90
22244,10,0
23551,1672,235
21429,259,315
23161,310,81
22694,760,280
22064,0,618
22690,48,79
20977,79,0
23213,780,482
23352,1369,321
23227,509,151
21937,10,11
23498,0,2380
21786,70,140
21873,43,37
23500,886,703
22097,173,345
21088,54,108
23547,389,281
22755,0,606
21770,279,192
85049G,276,130
21912,176,399
22095,459,544
22739,1271,351
22941,326,460
22812,597,44
22814,107,248
23373,1058,196
22805,437,112
22026,266,90
21422,1393,45
15039,653,51
23289,246,136
46000S,401,181
21888,474,184
23291,226,127
23681,720,1466
21484,582,370
85053,566,303
22075,0,704
23135,27,30
22600,904,465
21294,38,0
22718,179,90
21068,984,124
22102,12021,27
22779,144,94
23365,1682,681
22732,731,316
85184C,23,38
79163,10,0
22974,121,89
22751,248,133
22508,151,110
82001S,540,115
22715,127,27
22130,1287,304
17038,1138,4
21398,10,0
23371,954,612
22115,1301,225
21588,547,399
23331,299,399
22896,273,42
22599,1778,640
22613,110,56
22502,10,0
22922,185,200
23381,723,104
23302,0,685
22733,534,349
22625,334,166
21531,172,109
22893,102,122
23221,646,546
21880,98,65
22948,104,182
23169,1017,242
47599B,351,60
21824,2121,4
22456,293,110
16048,702,169
22300,993,102
37342,10,0
23268,105,14
22543,2338,295
23242,170,234
23431,629,105
84818,52,0
21158,1538,190
23323,489,442
22191,205,108
22576,1169,577
48116,40,17
22212,259,180
84030E,541,310
21162,3035,240
22478,104,124
85132C,10,0
37448,278,96
22099,510,84
23228,753,171
85111,1133,71
22035,13,0
23160,658,72
22264,10,0
22185,85,496
22562,269,225
22400,341,165
22329,198,72
22672,208,87
22109,251,295
21705,0,987
22692,159,61
37327,89,0
72802C,5125,0
21883,251,62
85062,74,122
23312,775,362
23162,139,132
22505,338,82
21993,499,386
20674,105,83
79030G,10,0
21563,0,717
22702,28,9
22096,1,354
22350,147,48
20754,100,112
23197,572,322
23370,1395,364
22193,270,141
21870,10,0
22433,279,33
22780,139,97
22349,135,43
21114,165,48
22709,311,112
21439,303,246
22319,0,1008
23375,1142,173
22299,0,758
22965,274,187
22746,337,112
85227,339,208
23483,1022,574
21533,123,79
23549,675,188
85172,985,480
23225,470,423
22897,369,84
16236,293,133
22622,306,107
23372,881,533
22274,151,248
22603,743,406
21402,272,262
22117,32,16
37446,65,57
23217,245,362
21934,353,145
21718,77,26
22078,554,108
23029,291,144
22208,350,364
22477,115,122
22943,840,17
16016,163,214
23432,311,134
84535B,545,130
23281,58,214
22674,280,63
22923,98,226
85048,487,371
21700,135,63
22607,42,87
21872,903,109
35923,1014,320
20829,231,112
85230B,747,270
21167,125,474
16238,235,184
11001,102,82
22572,1537,262
22707,310,281
21015,503,462
84598,1003,1296
22055,0,334
21112,516,133
85071B,341,147
23499,825,705
23028,55,0
72351A,68,35
21014,786,148
23102,891,150
23426,1040,246
23031,248,136
21561,528,39
23543,0,852
22737,680,243
10125,255,129
22050,212,112
21494,1447,287
22403,292,115
21206,297,18
16012,224,74
22665,344,0
23433,223,249
23189,846,137
22291,14,9
21990,683,242
84012,318,389
23534,880,286
22784,161,154
22902,284,152
23377,1048,177
23226,329,96
22207,148,134
21788,441,96
22420,325,281
22245,10,0
85049C,244,123
21823,578,4
22700,13,0
22501,79,0
23086,395,252
21716,136,17
22089,115,66
22043,522,450
22973,235,112
22429,193,69
22809,472,417
21591,1441,276
22187,878,348
22396,172,141
23691,682,1041
21201,699,56
23379,919,65
22675,71,84
21163,1127,0
22604,51,57
22924,277,223
22717,159,54
22080,135,190
16054,313,378
85194S,704,353
84826,12,414
22967,10,27
23267,480,225
21955,27,33
23270,223,147
22103,8114,0
22380,148,191
21992,433,45
23360,390,128
22859,327,54
21096,66,72
21209,216,134
22857,125,0
21715,120,10
20682,123,220
23274,475,184
23113,325,33
85014A,715,97
22023,232,75
22399,25,40
21260,143,34
21903,68,136
22306,646,318
21259,184,134
23535,259,413
22758,0,623
22975,64,73
22776,176,60
21159,1630,161
79191C,278,234
48111,115,45
23250,366,250
22550,121,81
21641,10,0
85230E,10,0
21803,680,130
20963,100,282
21428,221,125
22795,85,144
22736,738,215
85035C,1414,189
22581,159,570
22545,1330,300
22292,24,11
23126,384,235
20970,292,190
21714,64,74
22479,63,29
22858,13,0
35954,1641,0
23548,299,141
22731,441,177
22169,133,153
22653,64,65
21890,225,89
85034C,1588,500
23134,10,0
22532,92,114
21584,310,166
84510A,191,142
23505,554,475
22654,134,123
21679,126,109
22723,0,166
22311,595,233
72817,1495,238
21058,164,44
22344,0,364
22982,162,75
23389,474,289
23237,170,152
23509,1518,94
21382,236,64
22930,127,69
84596L,10,0
22377,250,16
22676,554,176
23530,668,380
22076,0,434
85230G,102,108
21070,1092,79
22582,190,37
22669,161,79
20961,153,296
22286,249,50
21879,323,32
17084N,485,112
22170,58,104
22976,48,83
21884,77,54
21564,0,695
21397,10,0
21389,41,54
85038,355,426
23012,465,156
20985,214,58
21245,0,178
20828,252,96
20832,266,138
21401,136,102
21200,872,9
46000M,378,111
23132,890,89
90057,907,486
22757,0,461
22049,731,0
22074,0,234
23080,152,386
22955,411,165
21802,873,4
23096,675,110
22837,10,0
22441,56,160
22129,770,29
21207,286,24
22332,457,81
23299,35,20
22340,573,549
85183B,214,134
23359,269,142
85071A,558,158
21881,66,24
22051,325,225
22048,352,112
21217,135,84
21123,204,74
47421,440,81
22422,0,669
23404,721,321
22345,0,356
72802B,3659,0
23283,210,105
84926E,238,225
21391,21,4
21198,86,110
23255,682,72
23531,571,263
84817,0,259
84828,119,71
47504H,132,228
21634,120,0
85017B,185,0
23061,48,91
21896,35,20
23129,409,97
20751,153,38
22937,99,32
21539,159,0
22132,439,150
84821,23,104
22949,155,48
23034,214,78
21654,10,0
23220,664,320
23273,423,136
23569,467,676
21745,88,124
22230,227,21
23244,243,84
85199L,190,109
21340,98,64
21192,1324,18
21033,10,0
22522,93,9
21291,108,122
21773,331,11
22262,125,35
22671,120,28
23130,413,279
22623,260,92
22753,0,384
20733,65,39
23093,47,76
85206A,10,0
22210,80,213
21636,213,144
20803,10,0
22721,0,220
22192,138,78
22977,50,34
21817,1141,0
23369,682,372
22810,533,220
85194L,36,50
23123,191,70
21619,910,421
23131,183,84
22494,84,64
22840,125,47
22438,0,709
22801,157,155
23526,337,240
22346,0,282
22360,453,45
85034B,1061,451
48129,148,50
22747,242,72
22933,14,4
23489,841,519
22677,869,142
22412,114,0
22284,70,61
22070,697,404
22198,10,0
21208,93,116
22932,4,38
23138,231,36
22231,132,43
21215,183,45
23056,5017,326
21292,12,216
23013,352,187
21199,162,135
22743,0,308
22686,977,155
22847,185,78
22228,256,65
22416,245,81
20801,10,0
21071,105,0
22523,111,32
22587,345,217
85230A,42,108
16033,10,0
22269,332,102
21615,699,520
22175,464,162
22101,5869,39
21400,420,187
21107,272,549
84660A,27,0
21109,0,341
22768,73,106
21774,115,20
22580,976,252
22342,302,108
22285,17,44
84006,159,336
22744,4,326
23087,326,122
23541,885,160
23461,0,771
22267,195,71
22566,261,251
23347,196,140
47518F,210,9
72816,478,0
22371,118,155
22222,41,18
22844,85,70
10002,10,0
22821,224,130
22789,124,30
22327,76,132
22209,0,152
22565,268,116
22293,38,9
22044,406,0
85130B,94,68
21211,545,33
22529,346,183
35648,334,107
23239,17,148
22598,1363,245
35095A,116,129
84819,0,497
22476,0,747
85213,10,0
22072,0,240
85040A,244,30
21556,14,7
21680,121,115
23068,459,99
22186,617,209
23014,447,88
85231B,244,100
22586,141,116
21789,323,88
21620,366,400
22179,116,146
22931,40,21
22650,229,118
23249,264,48
23388,318,160
22627,160,102
21111,0,268
23566,700,326
79051A,186,130
22211,228,135
21832,177,123
23184,158,81
23146,124,86
21756,69,45
23222,267,184
22811,1246,359
21110,171,119
85177,158,22
22434,121,73
22628,22,74
84792,85,79
21355,37,16
23214,559,135
35095B,137,66
21658,10,0
22673,104,56
15056P,112,97
21677,117,94
21383,63,76
23118,158,132
22800,169,91
22217,0,444
23393,287,164
22639,523,155
22444,10,0
22767,94,52
22820,85,32
16225,88,172
21609,10,0
23088,280,61
23133,348,26
22315,51,34
21922,21,16
37447,255,60
22778,227,27
21530,132,54
21616,530,376
21328,243,165
40001,298,0
23282,142,76
21684,99,50
21354,145,132
22854,10,0
22678,506,57
21447,10,0
22649,91,87
23269,599,237
22287,294,82
21452,78,58
23223,259,232
22680,351,96
21626,50,54
85032B,223,97
79066K,148,136
22304,1436,64
22547,0,236
85032A,298,75
22321,205,162
21224,187,40
21586,884,0
22307,347,218
22365,127,126
70007,224,136
20956,440,150
22968,93,108
22634,88,104
22100,312,166
23235,100,123
21503,134,112
85036C,1541,34
22040,450,112
35924,65,18
22487,124,57
22258,51,4
22483,79,120
22366,111,45
23494,434,395
22647,0,207
23390,181,145
23224,272,190
21411,0,376
23127,118,151
22424,107,55
22071,637,402
22605,133,42
84926D,122,83
22520,10,0
22845,99,66
23695,266,696
22133,222,30
37413,53,109
16161G,240,225
22354,114,14
22688,23,8
22695,256,292
84660B,10,0
85116,22,0
22696,513,99
22481,120,188
21713,35,18
22863,53,40
47480,0,137
23502,345,129
21386,228,356
22224,77,92
72349B,81,108
21066,1248,14
21905,135,164
22831,131,48
22305,40,24
22334,93,52
23395,347,199
23033,273,78
21318,10,0
23348,604,155
23435,332,107
84459B,10,0
23057,3385,652
22935,48,14
21249,180,40
84459A,21,0
72807C,517,472
18097C,60,36
22807,0,142
22735,585,159
22092,159,75
37450,95,33
23473,598,308
16015,118,45
23110,179,93
35598D,159,171
16169M,80,112
22426,80,40
85183A,488,53
22635,71,78
79190B,119,135
22838,135,75
84032B,0,384
20802,43,36
21648,300,324
20846,34,124
22679,331,34
79337,10,0
22252,386,63
21463,244,136
22664,0,173
44234,95,26
84660C,10,0
22316,51,9
22134,0,352
22337,499,88
22242,10,0
85032D,58,0
15044D,87,22
23529,282,38
22249,13,14
22681,135,61
22846,33,70
85176,233,74
22163,869,169
72586,430,4
22742,0,323
22232,89,91
85159B,148,56
21927,193,63
35964,240,246
22575,282,63
84341B,616,18
22682,246,82
22110,180,236
22689,418,70
23536,428,75
21949,171,32
84509A,59,54
90058B,945,324
22480,10,0
23396,213,159
21864,70,66
85071C,194,105
22588,254,81
22990,0,274
35810A,59,0
72225C,297,108
21882,90,54
22521,10,0
84926A,52,144
85032C,93,64
23403,583,75
21125,145,14
22254,51,75
21947,98,27
22524,10,0
20966,10,0
23564,996,130
23398,87,153
23392,132,142
21329,181,199
23252,73,46
85114A,43,38
22081,63,79
47567B,59,56
21578,17,0
23568,647,305
22942,132,218
22057,175,220
22181,271,74
22683,328,34
84763,10,0
21822,329,408
85231G,39,0
21059,243,32
22842,59,34
23052,26,14
22052,10,0
85203,49,71
21041,59,4
22687,12,12
23525,319,61
22190,0,165
22926,10,0
22636,98,72
21012,0,237
23164,190,132
22061,0,271
22856,67,90
84944,139,0
23559,731,116
37449,103,26
23048,174,26
22860,34,27
22934,14,0
23055,2961,648
23091,58,0
35957,10,0
23515,387,52
85035B,163,0
23553,465,209
23513,244,40
35598B,139,112
22756,0,237
22062,53,0
22313,420,56
85130D,26,18
22796,56,64
84422,10,0
21577,149,58
85054,110,4
22685,148,64
22255,138,71
23152,151,46
23003,10,0
22233,150,81
22430,92,18
21327,259,141
44235,30,16
85049D,10,0
22063,0,235
22361,122,28
22947,649,256
21866,191,72
23418,209,76
23490,752,306
17013D,10,0
22781,53,39
22310,280,200
21640,193,80
85106,16,14
72803A,2693,0
22583,117,22
23358,123,222
23511,395,55
85016,10,0
21115,0,196
21675,83,60
47422,50,30
22251,31,25
23216,147,47
47021G,10,0
22314,42,134
22364,61,34
22841,177,17
22261,76,27
85132B,10,0
35646,124,142
22458,10,0
51008,50,14
23452,742,233
21039,35,26
22265,40,14
84827,27,320
22085,42,47
23092,55,46
21373,103,178
22105,4343,0
22592,246,123
22116,103,69
16049,10,0
23124,12,0
23026,152,29
22120,97,52
84976,34,68
85169A,53,24
84754,10,0
21794,266,0
85094,528,38
22626,63,40
21062,131,45
22312,87,129
21272,10,0
85019B,978,63
21730,68,76
22229,268,14
82567,89,82
21471,76,9
85174,111,93
84509G,14,45
85039B,76,25
21643,326,450
21116,164,112
85034A,1958,108
75131,10,0
21257,96,75
22176,314,0
21126,60,52
23058,181,276
21306,295,93
21065,22,20
22393,0,392
23512,254,42
23542,251,214
22247,14,9
21906,34,18
21063,192,34
84520B,10,0
84849D,172,120
85130C,19,16
84519A,92,79
85186A,10,0
22905,123,176
22279,97,83
37482P,10,0
35004B,78,30
16156L,43,112
22038,198,112
21894,62,50
23112,294,62
21991,82,107
21617,1018,405
22445,96,58
84596J,10,0
82613D,45,22
85131A,28,0
22468,112,75
16052,10,0
22541,47,18
23075,153,81
23524,299,64
20840,121,76
21527,10,0
22719,10,0
23528,285,52
22684,91,62
22783,10,0
22485,36,63
84313C,10,0
22953,44,28
20986,182,98
72598,204,231
23050,49,14
22525,10,0
23514,341,87
85114C,149,111
21520,174,0
21801,48,0
79030D,75,0
75178,34,4
84625A,0,56
17012B,512,4
22358,46,36
23081,138,120
22363,28,12
85132A,10,0
21311,88,69
20839,289,42
22288,16,9
20886,99,0
85093,103,0
85159A,68,43
72800E,8,161
23007,65,46
21202,52,54
23400,329,25
22482,10,0
85049H,216,61
84032A,0,191
22250,10,0
22939,139,82
16258A,0,204
21898,10,0
22374,161,45
23325,191,135
79160,21,25
21289,143,45
23401,44,200
85039A,285,29
22123,20,159
21043,10,0
84625C,10,0
23697,222,479
22911,168,123
22473,22,78
23419,124,70
21747,31,58
22701,0,74
21194,132,90
23049,38,32
22981,158,46
23556,692,43
23397,230,212
85180A,20,9
85173,63,101
22425,68,36
23406,315,60
22843,119,9
22068,0,264
23357,111,169
23128,79,62
22853,37,58
37495,250,18
17129F,95,0
22914,57,17
22925,85,0
84519B,280,54
21258,63,107
21171,10,0
35971,215,51
84926F,61,66
15044A,45,48
47574A,28,0
82599,10,0
23598,38,458
23555,784,37
23008,34,28
23554,681,38
21204,118,58
21195,10,0
21948,106,46
23022,262,138
22822,28,9
23527,286,46
23482,644,170
21807,127,0
21926,81,40
85186C,94,0
21061,91,81
15060B,89,81
23558,579,40
22260,30,40
21785,10,0
23424,231,66
85019A,116,80
20866,263,20
23139,29,69
22341,37,18
23338,0,165
21717,10,0
23125,18,14
23219,97,136
21925,38,18
21897,10,0
22127,10,0
82613B,27,4
84535A,10,0
22318,77,15
22927,10,0
21191,106,132
35004C,10,0
72799E,0,242
85114B,152,45
23394,166,108
21446,42,62
23314,97,63
84596E,10,0
22322,82,0
23521,349,90
35809A,10,0
22452,51,27
22559,18,7
21442,0,342
22538,0,84
72760B,64,28
22067,36,101
77101A,10,0
17012D,192,151
21284,0,255
22259,10,0
21666,48,94
22199,0,122
22248,82,72
20868,287,252
23324,76,63
35967,225,86
21441,48,232
22459,10,0
22591,261,86
85049F,10,0
21724,184,36
23218,293,70
22519,10,0
23085,260,116
22946,191,53
21723,53,8
23342,166,56
81952V,72,16
17012F,243,102
21744,230,146
22449,49,20
22031,126,50
17012C,216,70
85071D,449,40
22839,61,35
84951A,352,63
22032,157,81
23391,173,105
20752,68,43
84800L,10,0
22890,101,37
22042,208,162
82613C,66,76
22471,7,71
23335,148,65
21622,23,8
23523,195,58
84078A,57,18
23518,214,32
21060,306,63
85170D,25,15
47469,57,30
22277,104,26
79302M,82,86
22852,37,64
23272,70,106
17136A,481,0
85036B,996,18
